source_log_id,dataset_file,source_name,source_table_or_page,query_condition,period_covered,download_or_access_date,collection_method,robots_terms_checked,request_interval_seconds,crawler_user_agent,url,limitations,notes
LOG-201,02_data/raw/public_ats_job_posting_candidates.csv,FuriosaAI public ashby job board,https://jobs.ashbyhq.com/furiosa-ai,keywords=AI;Machine Learning;ML;NPU;Inference;Data;Software;Engineer;Research;LLM; locations=Seoul;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.ashbyhq.com/posting-api/job-board/furiosa-ai?includeCompensation=true,company career board only; open roles not market representative,Ashby public job postings API is documented for currently published job postings; Korean AI semiconductor company
LOG-202,02_data/raw/public_ats_job_posting_candidates.csv,FriendliAI public ashby job board,https://jobs.ashbyhq.com/friendliai,keywords=AI;Machine Learning;ML;Inference;LLM;Data;Engineer;Research;GPU; locations=Seoul;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.ashbyhq.com/posting-api/job-board/friendliai?includeCompensation=true,company career board only; sales roles may mention AI but not be AI labor roles,Ashby public job postings API is documented for currently published job postings; Korean AI inference platform company
LOG-203,02_data/raw/public_ats_job_posting_candidates.csv,Speak public ashby job board,https://jobs.ashbyhq.com/speak,keywords=AI;Machine Learning;ML;Data;Engineer;Research;LLM;NLP;Speech; locations=Seoul;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.ashbyhq.com/posting-api/job-board/speak?includeCompensation=true,company career board only; language-learning company not all roles AI-specific,Ashby public job postings API is documented for currently published job postings; AI language learning company with Korea presence
LOG-204,02_data/raw/public_ats_job_posting_candidates.csv,ElevenLabs public ashby job board,https://jobs.ashbyhq.com/elevenlabs,keywords=AI;Machine Learning;ML;Data;Engineer;Research;LLM;Audio;Speech; locations=Korea;Seoul,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.ashbyhq.com/posting-api/job-board/elevenlabs?includeCompensation=true,global company board; Korea roles may be business roles,Ashby public job postings API is documented for currently published job postings; global AI audio company with Korea roles
LOG-205,02_data/raw/public_ats_job_posting_candidates.csv,Gauss Labs public lever job board,https://jobs.lever.co/gausslabs,keywords=AI;Machine Learning;ML;Data Scientist;Software Engineer;Research;Manufacturing AI; locations=Seoul;Yeoksam;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.lever.co/v0/postings/gausslabs?mode=json,company career board only; Korea and US roles mixed,Lever postings API documents published job postings as publicly viewable and accessible via API; Korean manufacturing AI company
LOG-206,02_data/raw/public_ats_job_posting_candidates.csv,Channel Corp public lever job board,https://jobs.lever.co/zoyi,keywords=AI;Applied AI;Machine Learning;ML;Data;Engineer;AX;LLM;Agent; locations=Seoul;Korea;KR;Remote,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.lever.co/v0/postings/zoyi?mode=json,company career board only; product roles may need manual filtering,Lever postings API documents published job postings as publicly viewable and accessible via API; Korean AI customer engagement company
LOG-207,02_data/raw/public_ats_job_posting_candidates.csv,Match Group public lever job board,https://jobs.lever.co/matchgroup,keywords=AI;Machine Learning;ML;Data;Recommendation;Trust;Safety;Engineer;Research; locations=Seoul;Korea;KR;APAC;Hyperconnect,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.lever.co/v0/postings/matchgroup?mode=json,global board; only Korea/Hyperconnect roles should be retained,Lever postings API documents published job postings as publicly viewable and accessible via API; Match Group AI and Hyperconnect Korea roles
LOG-208,02_data/raw/public_ats_job_posting_candidates.csv,TwelveLabs public ashby job board,https://jobs.ashbyhq.com/twelve-labs,keywords=AI;Machine Learning;ML;VLM;Video;Research;Engineer;LLM;Data;TrainingOps;Search; locations=Seoul;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.ashbyhq.com/posting-api/job-board/twelve-labs?includeCompensation=true,company career board only; multiple Seoul ML roles may be very similar,Ashby public job postings API is documented for currently published job postings; TwelveLabs video AI roles in Seoul
LOG-209,02_data/raw/public_ats_job_posting_candidates.csv,CLO Virtual Fashion public lever job board,https://jobs.lever.co/clovirtualfashion,keywords=AI;Machine Learning;ML;Data;Research;Engineer;R&D;Computer Vision;3D; locations=Seoul;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.lever.co/v0/postings/clovirtualfashion?mode=json,company career board only; fashion-tech domain may differ from core AI platforms,Lever postings API documents published job postings as publicly viewable and accessible via API; CLO Virtual Fashion ML R&D role in Seoul
LOG-210,02_data/raw/public_ats_job_posting_candidates.csv,Fieldguide public ashby job board,https://jobs.ashbyhq.com/fieldguide,keywords=AI;Machine Learning;ML;Engineer;LLM;Agent;Accounting;Audit;Data; locations=Seoul;Korea;KR,currently published postings,2026-05-12,auto,yes,10,GraduationResearchBot/0.1,https://api.ashbyhq.com/posting-api/job-board/fieldguide?includeCompensation=true,global company board; Korea role is domain-specific AI,Ashby public job postings API is documented for currently published job postings; AI audit/accounting role in Korea
