target_id,provider,board_token,company,job_board_url,api_url,keywords,location_terms,source_log_id,robots_terms_checked,allowed_basis,request_interval_seconds,crawler_user_agent,limitations,notes
ATS-001,ashby,furiosa-ai,FuriosaAI,https://jobs.ashbyhq.com/furiosa-ai,https://api.ashbyhq.com/posting-api/job-board/furiosa-ai?includeCompensation=true,"AI;Machine Learning;ML;NPU;Inference;Data;Software;Engineer;Research;LLM","Seoul;Korea;KR",LOG-201,yes,Ashby public job postings API is documented for currently published job postings,10,GraduationResearchBot/0.1,company career board only; open roles not market representative,Korean AI semiconductor company
ATS-002,ashby,friendliai,FriendliAI,https://jobs.ashbyhq.com/friendliai,https://api.ashbyhq.com/posting-api/job-board/friendliai?includeCompensation=true,"AI;Machine Learning;ML;Inference;LLM;Data;Engineer;Research;GPU","Seoul;Korea;KR",LOG-202,yes,Ashby public job postings API is documented for currently published job postings,10,GraduationResearchBot/0.1,company career board only; sales roles may mention AI but not be AI labor roles,Korean AI inference platform company
ATS-003,ashby,speak,Speak,https://jobs.ashbyhq.com/speak,https://api.ashbyhq.com/posting-api/job-board/speak?includeCompensation=true,"AI;Machine Learning;ML;Data;Engineer;Research;LLM;NLP;Speech","Seoul;Korea;KR",LOG-203,yes,Ashby public job postings API is documented for currently published job postings,10,GraduationResearchBot/0.1,company career board only; language-learning company not all roles AI-specific,AI language learning company with Korea presence
ATS-004,ashby,elevenlabs,ElevenLabs,https://jobs.ashbyhq.com/elevenlabs,https://api.ashbyhq.com/posting-api/job-board/elevenlabs?includeCompensation=true,"AI;Machine Learning;ML;Data;Engineer;Research;LLM;Audio;Speech","Korea;Seoul",LOG-204,yes,Ashby public job postings API is documented for currently published job postings,10,GraduationResearchBot/0.1,global company board; Korea roles may be business roles,global AI audio company with Korea roles
ATS-005,lever,gausslabs,Gauss Labs,https://jobs.lever.co/gausslabs,https://api.lever.co/v0/postings/gausslabs?mode=json,"AI;Machine Learning;ML;Data Scientist;Software Engineer;Research;Manufacturing AI","Seoul;Yeoksam;Korea;KR",LOG-205,yes,Lever postings API documents published job postings as publicly viewable and accessible via API,10,GraduationResearchBot/0.1,company career board only; Korea and US roles mixed,Korean manufacturing AI company
ATS-006,lever,zoyi,Channel Corp,https://jobs.lever.co/zoyi,https://api.lever.co/v0/postings/zoyi?mode=json,"AI;Applied AI;Machine Learning;ML;Data;Engineer;AX;LLM;Agent","Seoul;Korea;KR;Remote",LOG-206,yes,Lever postings API documents published job postings as publicly viewable and accessible via API,10,GraduationResearchBot/0.1,company career board only; product roles may need manual filtering,Korean AI customer engagement company
ATS-007,lever,matchgroup,Match Group,https://jobs.lever.co/matchgroup,https://api.lever.co/v0/postings/matchgroup?mode=json,"AI;Machine Learning;ML;Data;Recommendation;Trust;Safety;Engineer;Research","Seoul;Korea;KR;APAC;Hyperconnect",LOG-207,yes,Lever postings API documents published job postings as publicly viewable and accessible via API,10,GraduationResearchBot/0.1,global board; only Korea/Hyperconnect roles should be retained,Match Group AI and Hyperconnect Korea roles
ATS-008,ashby,twelve-labs,TwelveLabs,https://jobs.ashbyhq.com/twelve-labs,https://api.ashbyhq.com/posting-api/job-board/twelve-labs?includeCompensation=true,"AI;Machine Learning;ML;VLM;Video;Research;Engineer;LLM;Data;TrainingOps;Search","Seoul;Korea;KR",LOG-208,yes,Ashby public job postings API is documented for currently published job postings,10,GraduationResearchBot/0.1,company career board only; multiple Seoul ML roles may be very similar,TwelveLabs video AI roles in Seoul
ATS-009,lever,clovirtualfashion,CLO Virtual Fashion,https://jobs.lever.co/clovirtualfashion,https://api.lever.co/v0/postings/clovirtualfashion?mode=json,"AI;Machine Learning;ML;Data;Research;Engineer;R&D;Computer Vision;3D","Seoul;Korea;KR",LOG-209,yes,Lever postings API documents published job postings as publicly viewable and accessible via API,10,GraduationResearchBot/0.1,company career board only; fashion-tech domain may differ from core AI platforms,CLO Virtual Fashion ML R&D role in Seoul
ATS-010,ashby,fieldguide,Fieldguide,https://jobs.ashbyhq.com/fieldguide,https://api.ashbyhq.com/posting-api/job-board/fieldguide?includeCompensation=true,"AI;Machine Learning;ML;Engineer;LLM;Agent;Accounting;Audit;Data","Seoul;Korea;KR",LOG-210,yes,Ashby public job postings API is documented for currently published job postings,10,GraduationResearchBot/0.1,global company board; Korea role is domain-specific AI,AI audit/accounting role in Korea
ATS-011,lever,binance,Binance,https://jobs.lever.co/binance,https://api.lever.co/v0/postings/binance?mode=json,"AI;Machine Learning;ML;Data Scientist;Data Science;Fraud;Risk;Recommendation;Engineer","Seoul;South Korea;Korea;KR",LOG-211,yes,Lever postings API documents published job postings as publicly viewable and accessible via API,10,GraduationResearchBot/0.1,global remote board; retain only roles whose location field includes South Korea or Seoul,Data Science/AI roles that include South Korea location
ATS-012,lever,palantir,Palantir,https://jobs.lever.co/palantir,https://api.lever.co/v0/postings/palantir?mode=json,"AI;Data;Software Engineer;Forward Deployed;Engineer;Data Science;Machine Learning;ML","Seoul;South Korea;Korea;KR",LOG-212,yes,Lever postings API documents published job postings as publicly viewable and accessible via API,10,GraduationResearchBot/0.1,global board; include Korea software/data roles only,Forward deployed software/data roles in Seoul
